word,transcription
aada,/ˈɑːdɑ/
aaloi,/ˈɑːloi̯/
aastaika,/ˈɑːstɑi̯kɑ/
aampuussen,/ˈɑːmpuːsːen/
Aabrama,/ˈɑːbrɑmɑ/
aamu,/ˈɑːmu/
aamuiseel,/ˈɑːmui̯selːɑ/
aatto,/ˈɑːtːo/
aazbukki,/ˈɑːzbukːi/
a,/ˈɑ/
Aato,/ˈɑːto/
aarnitsa,/ˈɑːrnit͡sɑ/
aattua,/ˈɑːtːuɑ/
aanua,/ˈɑːnuɑ/
abessiva,/ˈɑbesːiʋɑ/
adra,/ˈɑdrɑ/
adessiva,/ˈɑdesːiʋɑ/
adjala,/ˈɑdjɑlɑ/
adressi,/ˈɑdresːi/
Afrikka,/ˈɑfrikːɑ/
aeroplana,/ˈɑeroplɑnɑ/
ackat,/ˈɑt͡ʃkɑt/
adria,/ˈɑdriɑ/
ah,/ˈɑh/
Agaffona,/ˈɑɡɑfːonɑ/
ablativa,/ˈɑblɑtiʋɑ/
aatuttaa,/ˈɑːtutːɑː/
ahavain,/ˈɑhɑʋɑi̯ne/
ahavoa,/ˈɑhɑʋoɑ/
ahkera,/ˈɑhkerɑ/
ahassos,/ˈɑhɑsːos/
ahavoja,/ˈɑhɑʋojɑ/
ahkerast,/ˈɑhkerɑstɑ/
adverba,/ˈɑdʋerbɑ/
adjektiva,/ˈɑdjektiʋɑ/
ahmastaa,/ˈɑhmɑstɑː/
ahmo,/ˈɑhmo/
ahas,/ˈɑhɑs/
ahava,/ˈɑhɑʋɑ/
ahnas,/ˈɑhnɑs/
ahissos,/ˈɑhisːos/
ahmia,/ˈɑhmiɑ/
ahistaa,/ˈɑhistɑː/
ahos,/ˈɑhos/
aho,/ˈɑho/
aattonna,/ˈɑːtːonːɑ/
ahven,/ˈɑhʋen/
ahteriseili,/ˈɑhterisei̯li/
ahteri,/ˈɑhteri/
ahteritammes,/ˈɑhteritɑmːes/
ai,/ˈɑi̯/
ahterispeili,/ˈɑhterispei̯li/
aika,/ˈɑi̯kɑ/
ahteritoppi,/ˈɑhteritopːi/
aijaa,/ˈɑjɑː/
aijanseiväs,/ˈɑi̯jɑnsei̯ʋæs/
aijan,/ˈɑi̯jɑn/
ahtaa,/ˈɑhtɑː/
aijas,/ˈɑi̯jɑs/
aikkaa,/ˈɑi̯kːɑː/
aikain,/ˈɑi̯kɑi̯ne/
aima,/ˈɑi̯mɑ/
aikaisee,/ˈɑi̯kɑi̯seː/
ain,/ˈɑi̯n/
aikointaikoin,/ˈɑi̯koi̯n ˈtɑi̯koi̯n/
aimastaa,/ˈɑi̯mɑstɑː/
airo,/ˈɑi̯ro/
aikamitta,/ˈɑi̯kɑmitːɑ/
aikaa,/ˈɑi̯kɑː/
aisakello,/ˈɑi̯sɑkelːo/
ainava,/ˈɑi̯nɑʋɑ/
aina,/ˈɑi̯nɑ/
aita,/ˈɑi̯tɑ/
aitta,/ˈɑi̯tːɑ/
aisarauta,/ˈɑi̯sɑrɑu̯tɑ/
aine,/ˈɑi̯ne/
aivas,/ˈɑi̯ʋɑs/
aivastaissa,/ˈɑi̯ʋɑstɑi̯sːɑ/
aista,/ˈɑistɑ/
aivot,/ˈɑi̯ʋot/
aivina,/ˈɑi̯ʋinɑ/
ajama,/ˈɑjɑmɑ/
aivinain,/ˈɑi̯ʋinɑi̯ne/
ajatos,/ˈɑjɑtos/
aivassus,/ˈɑi̯ʋɑsːus/
ajotee,/ˈɑjoteː/
ajella,/ˈɑjelːɑ/
ak,/ˈɑk/
akka,/ˈɑkːɑ/
akkuna,/ˈɑkːunɑ/
akko,/ˈɑkːo/
ajanveetto,/ˈɑjɑnʋeːtːo/
al,/ˈɑlːɑ/
aktinidia,/ˈɑktinidiɑ/
akatsia,/ˈɑkɑt͡siɑ/
akula,/ˈɑkulɑ/
ala,/ˈɑlɑ/
alakeeli,/ˈɑlɑkeːli/
alaitse,/ˈɑlɑi̯t͡se/
alahuuli,/ˈɑlɑhuːli/
alas,/ˈɑlɑs/
alaosa,/ˈɑlɑosɑ/
alasokka,/ˈɑlɑsokːɑ/
alaselys,/ˈɑlɑselys/
alasvirta,/ˈɑlɑsʋirtɑ/
alatasanko,/ˈɑlɑtɑsɑŋko/
alaspäin,/ˈɑlɑspæi̯/
alastoin,/ˈɑlɑstoi̯n/
ali,/ˈɑli/
alassi,/ˈɑlɑsːi/
alileuka,/ˈɑlileu̯kɑ/
alfavitta,/ˈɑlfɑʋitːɑ/
alkamaa,/ˈɑlkɑmɑː/
alkaa,/ˈɑlkɑː/
aleta,/ˈɑletɑ/
alkukonsonantta,/ˈɑlkukonsonɑntːɑ/
alkujutto,/ˈɑlkujutːo/
alkuperä,/ˈɑlkuperæ/
alkuškoulu,/ˈɑlkuʃkou̯lu/
alkutiito,/ˈɑlkutiːto/
alt,/ˈɑltɑ/
allaalt,/ˈɑlɑːltɑ/
alle,/ˈɑlːe/
alto,/ˈɑlto/
allativa,/ˈɑlːɑtiʋɑ/
aluhame,/ˈɑluhɑme/
aluhuuli,/ˈɑluhuːli/
alttari,/ˈɑltːɑri/
alusmeisteri,/ˈɑlusmei̯steri/
alumain,/ˈɑlumɑi̯ne/
alutella,/ˈɑlutelːɑ/
alutos,/ˈɑlutos/
aluotsa,/ˈɑluot͡sɑ/
aluttaa,/ˈɑlutːɑː/
ammi,/ˈɑmːi/
aluspoduška,/ˈɑluspoduʃkɑ/
ammatti,/ˈɑmːɑtːi/
ammua,/ˈɑmːuɑ/
aluverkko,/ˈɑluʋerkːo/
ampumiin,/ˈɑmpumine/
ammattimees,/ˈɑmːɑtːimeːs/
anna,/ˈɑnːɑ/
ankkuriis,/ˈɑŋkːurisːɑ/
ammus,/ˈɑmːus/
Andree,/ˈɑndreː/
Annuška,/ˈɑnːuʃkɑ/
ansa,/ˈɑnsɑ/
antelikas,/ˈɑntelikɑs/
Anttikristus,/ˈɑntːikristus/
antura,/ˈɑnturɑ/
antakaa,/ˈɑntɑkɑː/
antiissa,/ˈɑntiːsːɑ/
aposteli,/ˈɑposteli/
apilain,/ˈɑpilɑi̯ne/
apu,/ˈɑpu/
apaja,/ˈɑpɑjɑ/
api,/ˈɑpi/
arassutella,/ˈɑrɑsːutelːɑ/
apihua,/ˈɑpihuɑ/
apreli,/ˈɑpreli/
arassuttaa,/ˈɑrɑsːutːɑː/
arbuza,/ˈɑrbuzɑ/
apulain,/ˈɑpulɑi̯ne/
aressoittaa,/ˈɑresːoi̯tːɑː/
apusana,/ˈɑpusɑnɑ/
aresti,/ˈɑresti/
arastua,/ˈɑrɑstuɑ/
Arhippa,/ˈɑripːɑ/
arastaa,/ˈɑrɑstɑː/
arhirei,/ˈɑrhirei̯/
arkirooka,/ˈɑrkiroːkɑ/
armas,/ˈɑrmɑs/
arkipäiväin,/ˈɑrkipæi̯ʋæi̯ne/
armo,/ˈɑrmo/
arkkana,/ˈɑrkːɑnɑ/
arkaloontoin,/ˈɑrkɑloːntoi̯ne/
armimain,/ˈɑrmimɑi̯ne/
aroittaa,/ˈɑroi̯tːɑː/
arpi,/ˈɑrpi/
