word,transcription
abie,/ˈɑbie̯/
abie,/ˈɑbie̯/
ahe,/ˈɑhe/
abuiäni,/ˈɑbuˌiæ̯nʲi/
ahašhengine,/ˈɑhɑʒˌheŋɡinʲe/
ahaš,/ˈɑhɑʃ/
aakkua,/ˈɑːkːuɑ̯/
adivo,/ˈɑdʲiʋo/
ahašhenkini,/ˈɑhɑʃˌheŋkinʲi/
ahingo,/ˈɑhiŋɡo/
adra,/ˈɑdrɑ/
ahkera,/ˈɑhkerɑ/
ahkivo,/ˈɑhkiʋo/
ahkivo,/ˈɑhkiʋo/
ahinko,/ˈɑhiŋko/
ahjo,/ˈɑhjo/
abu,/ˈɑbu/
ahtivo,/ˈɑhtʲiʋo/
ahku,/ˈɑhku/
aida,/ˈɑi̯dɑ/
ainoš,/ˈɑi̯noʃ/
airo,/ˈɑi̯ro/
aiga,/ˈɑi̯ɡɑ/
aika,/ˈɑi̯kɑ/
ajelupualikka,/ˈɑjeluˌpuɑ̯lʲikːɑ/
aivot,/ˈɑi̯ʋot/
ahmo,/ˈɑhmo/
aitta,/ˈɑi̯tːɑ/
akka,/ˈɑkːɑ/
aita,/ˈɑi̯tɑ/
allaš,/ˈɑlːɑʃ/
akottuo,/ˈɑkotːuo̯/
ajelušpualikka,/ˈɑjeluʃˌpuɑ̯lʲikːɑ/
alah,/ˈɑlɑh/
aloveh,/ˈɑloʋeh/
allaviivata,/ˈɑlːɑˌʋiːʋɑtɑ/
andilaš,/ˈɑndilɑʃ/
altina,/ˈɑltʲinɑ/
appiukko,/ˈɑpːiˌukːo/
ammatillini,/ˈɑmːɑˌtʲilʲːinʲi/
apie,/ˈɑpie̯/
apie,/ˈɑpie̯/
anteliekaš,/ˈɑntelie̯kɑʃ/
anoppi,/ˈɑnopːi/
appi,/ˈɑpːi/
arhelei,/ˈɑrhelʲei̯/
armahuš,/ˈɑrmɑhuʃ/
aprelʹa,/ˈɑprʲelʲɑ/
antilaš,/ˈɑntilɑʃ/
arvata,/ˈɑrʋɑtɑ/
armaš,/ˈɑrmɑʃ/
apu,/ˈɑpu/
aševelvollini,/ˈɑʃeˌʋelʋolʲːinʲi/
atra,/ˈɑtrɑ/
augusta,/ˈɑu̯ɡustɑ/
armo,/ˈɑrmo/
ašnita,/ˈɑʃnʲitɑ/
auli,/ˈɑu̯lʲi/
autobušši,/ˈɑu̯toˌbuʃːi/
ativo,/ˈɑtʲiʋo/
arvo,/ˈɑrʋo/
avata,/ˈɑʋɑtɑ/
bokko,/ˈbokːo/
avtobussa,/ˈɑʋtoˌbusːɑ/
čidžilyškä,/ˈt͡ʃid͡ʒiˌlʲyʃkæ/
čiba,/ˈt͡ʃibɑ/
briha,/ˈbrihɑ/
čičiliušku,/ˈt͡ʃit͡ʃiˌlʲiu̯ʃku/
čakka,/ˈt͡ʃɑkːɑ/
čirppi,/ˈt͡ʃirpːi/
čuasti,/ˈt͡ʃuɑ̯sʲtʲi/
čuasti,/ˈt͡ʃuɑ̯sʲtʲi/
čirpi,/ˈt͡ʃirpi/
čikko,/ˈt͡ʃikːo/
čiili,/ˈt͡ʃiːlʲi/
dekabrʹa,/ˈdʲekɑbrʲɑ/
eglein,/ˈeɡlʲei̯n/
eepossa,/ˈeːposːɑ/
da,/ˈdɑ/
