orthography,ipa
aada,/ˈɑːdɑ/
aaloi,/ˈɑːloi̯/
aaloi,/ˈɑːloi̯/
aastaika,/ˈɑːstɑi̯kɑ/
aampuussen,/ˈɑːmpuːsːen/
Aabrama,/ˈɑːbrɑmɑ/
-a,/-ɑ/
-a,/-ɑ/
aamu,/ˈɑːmu/
aamuiseel,/ˈɑːmui̯selːɑ/
aatto,/ˈɑːtːo/
aazbukki,/ˈɑːzbukːi/
a,/ˈɑ/
Aato,/ˈɑːto/
aarnitsa,/ˈɑːrnit͡sɑ/
aattua,/ˈɑːtːuɑ/
aanua,/ˈɑːnuɑ/
abessiva,/ˈɑbesːiʋɑ/
adra,/ˈɑdrɑ/
adessiva,/ˈɑdesːiʋɑ/
adjala,/ˈɑdjɑlɑ/
adressi,/ˈɑdresːi/
Afrikka,/ˈɑfrikːɑ/
aeroplana,/ˈɑeroˌplɑnɑ/
ackat,/ˈɑt͡ʃkɑt/
adria,/ˈɑdriɑ/
ah,/ˈɑh/
Agaffona,/ˈɑɡɑfːonɑ/
ablativa,/ˈɑblɑtiʋɑ/
aatuttaa,/ˈɑːtutːɑː/
ahavain,/ˈɑhɑʋɑi̯ne/
ahavoa,/ˈɑhɑʋoɑ/
ahkera,/ˈɑhkerɑ/
ahassos,/ˈɑhɑsːos/
ahavoja,/ˈɑhɑʋojɑ/
ahavoja,/ˈɑhɑʋojɑ/
ahkerast,/ˈɑhkerɑstɑ/
ahkerast,/ˈɑhkerɑstɑ/
adverba,/ˈɑdʋerbɑ/
adjektiva,/ˈɑdjektiʋɑ/
ahmastaa,/ˈɑhmɑstɑː/
ahmo,/ˈɑhmo/
ahas,/ˈɑhɑs/
ahava,/ˈɑhɑʋɑ/
ahava,/ˈɑhɑʋɑ/
ahnas,/ˈɑhnɑs/
ahissos,/ˈɑhisːos/
ahmia,/ˈɑhmiɑ/
ahistaa,/ˈɑhistɑː/
ahos,/ˈɑhos/
ahmastaa söövvä,/ˈɑhmɑstɑː ˈsøːʋːæ/
-ahtaa,/-ɑhtɑː/
ahmia söövvä,/ˈɑhmiɑ ˈsøːʋːæ/
aho,/ˈɑho/
aattonna,/ˈɑːtːonːɑ/
-ahtava,/-ɑhtɑʋɑ/
ahven,/ˈɑhʋen/
ahteriseili,/ˈɑhteriˌsei̯li/
aijaa olutta,/ˈɑjɑː ˈolutːɑ/
ahteri,/ˈɑhteri/
ahtaa söövvä,/ˈɑhtɑː ˈsøːʋːæ/
ahteritammes,/ˈɑhteriˌtɑmːes/
ai,/ˈɑi̯/
ahterispeili,/ˈɑhteriˌspei̯li/
aika,/ˈɑi̯kɑ/
aika,/ˈɑi̯kɑ/
ahteritoppi,/ˈɑhteriˌtopːi/
aijaa,/ˈɑjɑː/
aijanseiväs,/ˈɑi̯jɑnˌsei̯ʋæs/
aijan,/ˈɑi̯jɑn/
ahtaa,/ˈɑhtɑː/
aijas,/ˈɑi̯jɑs/
aikkaa,/ˈɑi̯kːɑː/
aikain,/ˈɑi̯kɑi̯ne/
aima,/ˈɑi̯mɑ/
aima,/ˈɑi̯mɑ/
aikaisee,/ˈɑi̯kɑi̯seː/
aikaisee,/ˈɑi̯kɑi̯seː/
ain,/ˈɑi̯n/
aikoin-taikoin,/ˈɑi̯koi̯n ˈtɑi̯koi̯n/
aimastaa,/ˈɑi̯mɑstɑː/
airo,/ˈɑi̯ro/
aikamitta,/ˈɑi̯kɑˌmitːɑ/
aikaa,/ˈɑi̯kɑː/
aikaa,/ˈɑi̯kɑː/
aikaa,/ˈɑi̯kɑː/
aisakello,/ˈɑi̯sɑˌkelːo/
ainava,/ˈɑi̯nɑʋɑ/
aina,/ˈɑi̯nɑ/
aisannahka,/ˈɑi̯sɑnˌnɑhkɑ/
aita,/ˈɑi̯tɑ/
aitta,/ˈɑi̯tːɑ/
aisarauta,/ˈɑi̯sɑˌrɑu̯tɑ/
aine,/ˈɑi̯ne/
aine,/ˈɑi̯ne/
aivas,/ˈɑi̯ʋɑs/
aivastaissa,/ˈɑi̯ʋɑstɑi̯sːɑ/
aista,/ˈɑ.istɑ/
aivassella,/ˈɑi̯ʋɑsˌselːɑ/
aivot,/ˈɑi̯ʋot/
aivina,/ˈɑi̯ʋinɑ/
ajama,/ˈɑjɑmɑ/
aivinain,/ˈɑi̯ʋinɑi̯ne/
ajatos,/ˈɑjɑtos/
aivassus,/ˈɑi̯ʋɑsːus/
ajotee,/ˈɑjoˌteː/
ajella,/ˈɑjelːɑ/
ak,/ˈɑk/
akka,/ˈɑkːɑ/
akkuna,/ˈɑkːunɑ/
akko,/ˈɑkːo/
ajanveetto,/ˈɑjɑnˌʋeːtːo/
al,/ˈɑlːɑ/
al,/ˈɑlːɑ/
aktinidia,/ˈɑktinidiɑ/
akatsia,/ˈɑkɑt͡siɑ/
akula,/ˈɑkulɑ/
ala-,/ˈɑlɑ-/
alakeeli,/ˈɑlɑˌkeːli/
alaitse,/ˈɑlɑi̯t͡se/
alaitse,/ˈɑlɑi̯t͡se/
alahuuli,/ˈɑlɑˌhuːli/
alas,/ˈɑlɑs/
alaosa,/ˈɑlɑˌosɑ/
alasokka,/ˈɑlɑˌsokːɑ/
alaselys,/ˈɑlɑˌselys/
alasvirta,/ˈɑlɑsˌʋirtɑ/
alatasanko,/ˈɑlɑˌtɑsɑŋko/
alaspäin,/ˈɑlɑsˌpæi̯/
alastoin,/ˈɑlɑstoi̯n/
ali-,/ˈɑli-/
alassi,/ˈɑlɑsːi/
alileuka,/ˈɑliˌleu̯kɑ/
alfavitta,/ˈɑlfɑʋitːɑ/
alkamaa,/ˈɑlkɑmɑː/
alkaa,/ˈɑlkɑː/
aleta,/ˈɑletɑ/
aleta,/ˈɑletɑ/
alkukonsonantta,/ˈɑlkuˌkonsoˌnɑntːɑ/
alkujutto,/ˈɑlkuˌjutːo/
alkuperä,/ˈɑlkuˌperæ/
alkuškoulu,/ˈɑlkuˌʃkou̯lu/
alkutiito,/ˈɑlkuˌtiːto/
alt,/ˈɑltɑ/
alt,/ˈɑltɑ/
allaalt,/ˈɑlɑːltɑ/
alle,/ˈɑlːe/
alle,/ˈɑlːe/
alto,/ˈɑlto/
allativa,/ˈɑlːɑtiʋɑ/
aluhame,/ˈɑluˌhɑme/
aluhuuli,/ˈɑluˌhuːli/
alttari,/ˈɑltːɑri/
alusmeisteri,/ˈɑlusˌmei̯steri/
alumain,/ˈɑlumɑi̯ne/
alutella,/ˈɑlutelːɑ/
alutos,/ˈɑlutos/
aluotsa,/ˈɑluˌot͡sɑ/
aluttaa,/ˈɑlutːɑː/
ammi,/ˈɑmːi/
aluspoduška,/ˈɑlusˌpoduʃkɑ/
ammatti,/ˈɑmːɑtːi/
ammua,/ˈɑmːuɑ/
aluverkko,/ˈɑluˌʋerkːo/
ampumiin,/ˈɑmpumine/
ampumiin,/ˈɑmpumine/
ammattimees,/ˈɑmːɑtːiˌmeːs/
anna,/ˈɑnːɑ/
ankkuriis,/ˈɑŋkːurisːɑ/
ankkuriis,/ˈɑŋkːurisːɑ/
ammus,/ˈɑmːus/
Andree,/ˈɑndreː/
