word,transcription
abie,/ˈɑbie̯/
ahe,/ˈɑhe/
abuiäni,/ˈɑbuiæ̯nʲi/
ahašhengine,/ˈɑhɑʒheŋɡinʲe/
ahaš,/ˈɑhɑʃ/
aakkua,/ˈɑːkːuɑ̯/
adivo,/ˈɑdʲiʋo/
ahašhenkini,/ˈɑhɑʃheŋkinʲi/
ahingo,/ˈɑhiŋɡo/
adra,/ˈɑdrɑ/
ahkera,/ˈɑhkerɑ/
ahkivo,/ˈɑhkiʋo/
ahinko,/ˈɑhiŋko/
ahjo,/ˈɑhjo/
abu,/ˈɑbu/
ahtivo,/ˈɑhtʲiʋo/
ahku,/ˈɑhku/
aida,/ˈɑi̯dɑ/
ainoš,/ˈɑi̯noʃ/
airo,/ˈɑi̯ro/
aiga,/ˈɑi̯ɡɑ/
aika,/ˈɑi̯kɑ/
ajelupualikka,/ˈɑjelupuɑ̯lʲikːɑ/
aivot,/ˈɑi̯ʋot/
ahmo,/ˈɑhmo/
aitta,/ˈɑi̯tːɑ/
akka,/ˈɑkːɑ/
aita,/ˈɑi̯tɑ/
allaš,/ˈɑlːɑʃ/
akottuo,/ˈɑkotːuo̯/
ajelušpualikka,/ˈɑjeluʃpuɑ̯lʲikːɑ/
alah,/ˈɑlɑh/
aloveh,/ˈɑloʋeh/
allaviivata,/ˈɑlːɑʋiːʋɑtɑ/
andilaš,/ˈɑndilɑʃ/
altina,/ˈɑltʲinɑ/
appiukko,/ˈɑpːiukːo/
ammatillini,/ˈɑmːɑtʲilʲːinʲi/
apie,/ˈɑpie̯/
anteliekaš,/ˈɑntelie̯kɑʃ/
anoppi,/ˈɑnopːi/
appi,/ˈɑpːi/
arhelei,/ˈɑrhelʲei̯/
armahuš,/ˈɑrmɑhuʃ/
aprelʹa,/ˈɑprʲelʲɑ/
antilaš,/ˈɑntilɑʃ/
arvata,/ˈɑrʋɑtɑ/
armaš,/ˈɑrmɑʃ/
apu,/ˈɑpu/
aševelvollini,/ˈɑʃeʋelʋolʲːinʲi/
atra,/ˈɑtrɑ/
augusta,/ˈɑu̯ɡustɑ/
armo,/ˈɑrmo/
ašnita,/ˈɑʃnʲitɑ/
auli,/ˈɑu̯lʲi/
autobušši,/ˈɑu̯tobuʃːi/
ativo,/ˈɑtʲiʋo/
arvo,/ˈɑrʋo/
avata,/ˈɑʋɑtɑ/
bokko,/ˈbokːo/
avtobussa,/ˈɑʋtobusːɑ/
čidžilyškä,/ˈt͡ʃid͡ʒilʲyʃkæ/
čiba,/ˈt͡ʃibɑ/
briha,/ˈbrihɑ/
čičiliušku,/ˈt͡ʃit͡ʃilʲiu̯ʃku/
čakka,/ˈt͡ʃɑkːɑ/
čirppi,/ˈt͡ʃirpːi/
čuasti,/ˈt͡ʃuɑ̯sʲtʲi/
čirpi,/ˈt͡ʃirpi/
čikko,/ˈt͡ʃikːo/
čiili,/ˈt͡ʃiːlʲi/
dekabrʹa,/ˈdʲekɑbrʲɑ/
eglein,/ˈeɡlʲei̯n/
eepossa,/ˈeːposːɑ/
da,/ˈdɑ/
dekabri,/ˈdʲekɑbrʲi/
egläin,/ˈeɡlʲæi̯n/
ei,/ˈei̯/
eglen,/ˈeɡlʲen/
elokuu,/ˈelokuː/
eklen,/ˈeklʲen/
elätti,/ˈelʲætʲːi/
eläntä,/ˈelʲænʲtʲæ/
elo,/ˈelo/
ešte,/ˈeʃtʲe/
ennakkuolʹta,/ˈenːɑkkuo̯lʲtɑ/
eländä,/ˈelʲænʲdʲæ/
emä,/ˈemæ/
eurovision laulukilpailu,/ˈeu̯roʋisʲion ˈlɑu̯lukilpɑi̯lu/
greču,/ˈɡret͡ʃu/
gorničča,/ˈɡornit͡ʃːɑ/
guada,/ˈɡuɑ̯dɑ/
feurali,/ˈfeu̯rɑlʲi/
flynteri,/ˈflʲyntʲeri/
haju,/ˈhɑju/
hajukaš,/ˈhɑjukɑʃ/
hameh,/ˈhɑmeh/
gosʹtʹa,/ˈɡosʲtʲɑ/
halʹlʹakka,/ˈhɑlʲːɑkːɑ/
eklein,/ˈeklʲei̯n/
hammaš,/ˈhɑmːɑʃ/
harpata,/ˈhɑrpɑtɑ/
harpauš,/ˈhɑrpɑu̯ʃ/
harmua,/ˈhɑrmuɑ̯/
hanhi,/ˈhɑnhi/
hapata,/ˈhɑpɑtɑ/
harju,/ˈhɑrju/
harppauš,/ˈhɑrpːɑu̯ʃ/
harakka,/ˈhɑrɑkːɑ/
hapan,/ˈhɑpɑn/
hauda,/ˈhɑu̯dɑ/
haugi,/ˈhɑu̯ɡi/
hebo,/ˈhebo/
eri,/ˈeri/
heinäkuu,/ˈhei̯nʲækuː/
hauki,/ˈhɑu̯ki/
hebone,/ˈhebonʲe/
heimo,/ˈhei̯mo/
heikko,/ˈhei̯kːo/
hauta,/ˈhɑu̯tɑ/
haukka,/ˈhɑu̯kːɑ/
hengi,/ˈheŋɡi/
heinä,/ˈhei̯nʲæ/
henkityš,/ˈheŋkitʲyʃ/
herneh,/ˈhernʲeh/
hepo,/ˈhepo/
hibie,/ˈhibie̯/
higi,/ˈhiɡi/
hipie,/ˈhipie̯/
heponi,/ˈheponʲi/
hiiri,/ˈhiːri/
hengityš,/ˈheŋɡitʲyʃ/
hiki,/ˈhiki/
henki,/ˈheŋki/
hibiehiiri,/ˈhibie̯hiːri/
hipiehiiri,/ˈhipie̯hiːri/
Hospoti,/ˈhospotʲi/
hivuš,/ˈhiʋuʃ/
huja,/ˈhujɑ/
hukka,/ˈhukːɑ/
huoli,/ˈhuo̯lʲi/
hirvi,/ˈhirʋi/
huomeneš,/ˈhuo̯meneʃ/
huono,/ˈhuo̯no/
hyvä,/ˈhyʋæ/
huomneš,/ˈhuo̯mneʃ/
huttu,/ˈhutːu/
huomena,/ˈhuo̯menɑ/
huuhkaja,/ˈhuːhkɑjɑ/
hyö,/ˈhyø̯/
hätä,/ˈhætʲæ/
hädä,/ˈhædʲæ/
hyybiehaukka,/ˈhyːbie̯hɑu̯kːɑ/
hyypiehaukka,/ˈhyːpie̯hɑu̯kːɑ/
hyypie,/ˈhyːpie̯/
höyry,/ˈhøy̯ry/
häkki,/ˈhækːi/
hämehikki,/ˈhæmehikːi/
hämähikkö,/ˈhæmæhikːø/
härgä,/ˈhærɡæ/
höberö,/ˈhøberø/
höperö,/ˈhøperø/
iččeh,/ˈit͡ʃːeh/
igä,/ˈiɡæ/
ijen,/ˈijen/
igen,/ˈiɡen/
ihmini,/ˈihminʲi/
ilta,/ˈiltɑ/
ijulʹa,/ˈijulʲɑ/
ikä,/ˈikæ/
ilveš,/ˈilʋeʃ/
ilma,/ˈilmɑ/
jalga,/ˈjɑlɡɑ/
inehmine,/ˈinʲehminʲe/
jalka,/ˈjɑlkɑ/
iäni,/ˈiæ̯nʲi/
izä,/ˈizʲæ/
jo,/ˈjo/
iäreh,/ˈiæ̯reh/
janhus,/ˈjɑnhus/
joka,/ˈjokɑ/
jiä,/ˈjiæ̯/
jiähä,/ˈjiæ̯hæ/
jumala,/ˈjumɑlɑ/
jauho,/ˈjɑu̯ho/
joga,/ˈjoɡɑ/
joko,/ˈjoko/
jygie,/ˈjyɡie̯/
jouši,/ˈjou̯ʃi/
joučen,/ˈjou̯t͡ʃen/
jouži,/ˈjou̯ʒi/
jykie,/ˈjykie̯/
kagla,/ˈkɑɡlɑ/
jänis,/ˈjænʲis/
kaglapaikka,/ˈkɑɡlɑpɑi̯kːɑ/
järvi,/ˈjærʋi/
kala,/ˈkɑlɑ/
kalakukko,/ˈkɑlɑkukːo/
kakattua,/ˈkɑkɑtːuɑ̯/
kallivo,/ˈkɑlʲːiʋo/
kana,/ˈkɑnɑ/
kampala,/ˈkɑmpɑlɑ/
kaivo,/ˈkɑi̯ʋo/
kaniini,/ˈkɑnʲiːnʲi/
kanto,/ˈkɑnto/
kanži,/ˈkɑnʒi/
kapusta,/ˈkɑpustɑ/
kando,/ˈkɑndo/
kariela,/ˈkɑrʲie̯lɑ/
kazi,/ˈkɑzʲi/
kate,/ˈkɑte/
kaunis,/ˈkɑu̯nʲis/
karu,/ˈkɑru/
karjala,/ˈkɑrjɑlɑ/
kello,/ˈkelːo/
kaunisʹ,/ˈkɑu̯nʲisʲ/
kauha,/ˈkɑu̯hɑ/
keldane,/ˈkeldɑnʲe/
