orthography,gold,prediction,accuracy
bokko,/ˈbokːo/,/ˈbokːo/,0.0
briha,/ˈbrihɑ/,/ˈbrihɑ/,0.0
da,/ˈdɑ/,/ˈdɑ/,0.0
dekabrʹa,/ˈdʲekɑbrʲɑ/,/ˈdʲekɑbrʲɑ/,0.0
ei,/ˈei̯/,/ˈei̯/,0.0
eklein,/ˈeklʲei̯n/,/ˈeklʲei̯n/,0.0
eklen,/ˈeklʲen/,/ˈeklʲen/,0.0
elo,/ˈelo/,/ˈelo/,0.0
emä,/ˈemæ/,/ˈemæ/,0.0
eri,/ˈeri/,/ˈeri/,0.0
ešte,/ˈeʃtʲe/,/ˈeʃtʲe/,0.0
eepossa,/ˈeːposːɑ/,/ˈeːposːɑ/,0.0
flynteri,/ˈflʲyntʲeri/,/ˈflʲyntʲeri/,0.0
hebo,/ˈhebo/,/ˈhebo/,0.0
hebone,/ˈhebonʲe/,/ˈhebonʲe/,0.0
heikko,/ˈhei̯kːo/,/ˈhei̯kːo/,0.0
heimo,/ˈhei̯mo/,/ˈhei̯mo/,0.0
heinä,/ˈhei̯nʲæ/,/ˈhei̯nʲæ/,0.0
hepo,/ˈhepo/,/ˈhepo/,0.0
heponi,/ˈheponʲi/,/ˈheponʲi/,0.0
herneh,/ˈhernʲeh/,/ˈhernʲeh/,0.0
hibie,/ˈhibie̯/,/ˈhibie̯/,0.0
hiki,/ˈhiki/,/ˈhiki/,0.0
hipie,/ˈhipie̯/,/ˈhipie̯/,0.0
hirvi,/ˈhirʋi/,/ˈhirʋi/,0.0
hiän,/ˈhiæ̯n/,/ˈhiæ̯n/,0.0
hivuš,/ˈhiʋuʃ/,/ˈhiʋuʃ/,0.0
hiiri,/ˈhiːri/,/ˈhiːri/,0.0
homeh,/ˈhomeh/,/ˈhomeh/,0.0
hoppu,/ˈhopːu/,/ˈhopːu/,0.0
hospodi,/ˈhospodʲi/,/ˈhospodʲi/,0.0
hospoti,/ˈhospotʲi/,/ˈhospotʲi/,0.0
huja,/ˈhujɑ/,/ˈhujɑ/,0.0
hukka,/ˈhukːɑ/,/ˈhukːɑ/,0.0
huoli,/ˈhuo̯lʲi/,/ˈhuo̯lʲi/,0.0
huomena,/ˈhuo̯menɑ/,/ˈhuo̯menɑ/,0.0
huono,/ˈhuo̯no/,/ˈhuo̯no/,0.0
huttu,/ˈhutːu/,/ˈhutːu/,0.0
huuhkaja,/ˈhuːhkɑjɑ/,/ˈhuːhkɑjɑ/,0.0
huukkaja,/ˈhuːkːɑjɑ/,/ˈhuːkːɑjɑ/,0.0
huuli,/ˈhuːlʲi/,/ˈhuːlʲi/,0.0
hyppy,/ˈhypːy/,/ˈhypːy/,0.0
hyö,/ˈhyø̯/,/ˈhyø̯/,0.0
hyvä,/ˈhyʋæ/,/ˈhyʋæ/,0.0
hyybie,/ˈhyːbie̯/,/ˈhyːbie̯/,0.0
hyypie,/ˈhyːpie̯/,/ˈhyːpie̯/,0.0
hädä,/ˈhædʲæ/,/ˈhædʲæ/,0.0
häkki,/ˈhækːi/,/ˈhækːi/,0.0
härkä,/ˈhærkæ/,/ˈhærkæ/,0.0
hätä,/ˈhætʲæ/,/ˈhætʲæ/,0.0
höberö,/ˈhøberø/,/ˈhøberø/,0.0
höperö,/ˈhøperø/,/ˈhøperø/,0.0
höyli,/ˈhøy̯lʲi/,/ˈhøy̯lʲi/,0.0
höyry,/ˈhøy̯ry/,/ˈhøy̯ry/,0.0
haju,/ˈhɑju/,/ˈhɑju/,0.0
hajukaš,/ˈhɑjukɑʃ/,/ˈhɑjukɑʃ/,0.0
hameh,/ˈhɑmeh/,/ˈhɑmeh/,0.0
hammaš,/ˈhɑmːɑʃ/,/ˈhɑmːɑʃ/,0.0
hanhi,/ˈhɑnhi/,/ˈhɑnhi/,0.0
hapan,/ˈhɑpɑn/,/ˈhɑpɑn/,0.0
hapata,/ˈhɑpɑtɑ/,/ˈhɑpɑtɑ/,0.0
harju,/ˈhɑrju/,/ˈhɑrju/,0.0
harmua,/ˈhɑrmuɑ̯/,/ˈhɑrmuɑ̯/,0.0
harpata,/ˈhɑrpɑtɑ/,/ˈhɑrpɑtɑ/,0.0
harpauš,/ˈhɑrpɑu̯ʃ/,/ˈhɑrpɑu̯ʃ/,0.0
harppauš,/ˈhɑrpːɑu̯ʃ/,/ˈhɑrpːɑu̯ʃ/,0.0
harakka,/ˈhɑrɑkːɑ/,/ˈhɑrɑkːɑ/,0.0
hauda,/ˈhɑu̯dɑ/,/ˈhɑu̯dɑ/,0.0
hauki,/ˈhɑu̯ki/,/ˈhɑu̯ki/,0.0
haukka,/ˈhɑu̯kːɑ/,/ˈhɑu̯kːɑ/,0.0
hauta,/ˈhɑu̯tɑ/,/ˈhɑu̯tɑ/,0.0
ihmini,/ˈihminʲi/,/ˈihminʲi/,0.0
