a’bbõnd,ˈɑˀbːənd
ablatīv,ˈɑblɑtiːv
a’bbõnz,ˈɑˀbːənz
aɡānd,ˈɑɡɑːnd
a’ddõrz,ˈɑˀdːərz
a’bbõrz,ˈɑˀbːərz
aiɡā,ˈɑiɡɑː
a’bli,ˈɑˀbli
a’b,ˈɑˀb
aiɡāmǭlõ,ˈɑiɡɑːmɒːlə
adesīv,ˈɑdesiːv
aɡā,ˈɑɡɑː
aiɡ,ˈɑiɡ
aiɡõ,ˈɑiɡə
a’iɡõ,ˈɑˀiɡə
a’iɡi,ˈɑˀiɡi
aiɡi,ˈɑiɡi
alāb,ˈɑlɑːb
aktsent,ˈɑktsent
a’ilõ,ˈɑˀilə
alā,ˈɑlɑː
akkiji,ˈɑkːiji
akkõ,ˈɑkːə
a’jjõ,ˈɑˀjːə
aițumāl,ˈɑicumɑːl
aim,ˈɑim
aldõst,ˈɑldəst
alāstli,ˈɑlɑːstli
alfabēt,ˈɑlfɑbeːt
alɡõ,ˈɑlɡə
alāstõ,ˈɑlɑːstə
a,ɑ
alɡõd,ˈɑlɡəd
alɡ,ˈɑlɡ
alɡid,ˈɑlɡid
alɡõm,ˈɑlɡəm
allõ,ˈɑlːə
a’lmi,ˈɑˀlmi
a’llitas,ˈɑˀlːitɑs
allatīv,ˈɑlːɑtiːv
alz,ˈɑlz
alīz,ˈɑliːz
alīztas,ˈɑliːztɑs
a’ltõ,ˈɑˀltə
alumīnij,ˈɑlumiːnij
aļ,ˈɑʎ
a’lli,ˈɑˀlːi
amāt,ˈɑmɑːt
amā,ˈɑmɑː
a’mši,ˈɑˀmʃi
amērik,ˈɑmeːrik
amūstiz,ˈɑmuːstiz
amātnikā,ˈɑmɑːtnikɑː
analīz,ˈɑnɑliːz
analōɡ,ˈɑnɑloːɡ
analōɡij,ˈɑnɑloːɡij
aņɡõrz,ˈɑɲɡərz
appõnrok,ˈɑpːənrok
appõnsēmḑa,ˈɑpːənseːmɟɑ
appõn,ˈɑpːən
appāina,ˈɑpːɑːinɑ
a’m,ˈɑˀm
anɡ,ˈɑnɡ
apostrōf,ˈɑpostroːf
andõ,ˈɑndə
and,ˈɑnd
aptēk,ˈɑpteːk
arrõ,ˈɑrːə
a’rrõ,ˈɑrːə
arāɡõz,ˈɑrɑːɡəz
arū,ˈɑruː
a’rtõ,ˈɑˀrtə
artõ,ˈɑrtə
arābõ,ˈɑrɑːbə
aŗšt,ˈɑrʲʃt
april,ˈɑpril
aŗštõ,ˈɑrʲʃtə
atrāita,ˈɑtrɑːitɑ
aššõ,ˈɑʃːə
atrāitanai,ˈɑtrɑːitɑnɑi
astām,ˈɑstɑːm
astõ,ˈɑstə
a’zmõl,ˈɑˀzməl
austrij,ˈɑustrij
azūmnikā,ˈɑzuːmnikɑː
azūm,ˈɑzuːm
ažāpū,ˈɑʒɑːpuː
a’ž,ˈɑˀʒ
āiɡa,ˈɑːiɡɑ
ažā,ˈɑʒɑː
ažāsõnā,ˈɑʒɑːsɯnɑː
azūmsõnā,ˈɑzuːmsɯnɑː
arm,ˈɑrm
āiɡakēra,ˈɑːiɡɑkeːrɑ
ā,ɑː
āiɡal,ˈɑːiɡɑl
āina,ˈɑːinɑ
a’r,ˈɑˀr
āiɡast,ˈɑːiɡɑst
āiɡiņ,ˈɑːiɡiɲ
āinakerk,ˈɑːinɑkerk
āiɡarǭntõz,ˈɑːiɡɑrɒːntəz
āinaɡi,ˈɑːinɑɡi
āltar,ˈɑːltɑr
āiraz,ˈɑːirɑz
āita,ˈɑːitɑ
āinakū,ˈɑːinɑkuː
āndõks,ˈɑːndəks
ānkaŗ,ˈɑːnkɑrʲ
āmbaz,ˈɑːmbɑz
ārɡa,ˈɑːrɡɑ
āļdža,ˈɑːʎdʒɑ
ārmaz,ˈɑːrmɑz
ārmaztõ,ˈɑːrmɑztə
ārmakstõ,ˈɑːrmɑkstə
ä’b,ˈæˀb
ä’bjõvā,ˈæˀbjɯvɑː
äbjõvā,ˈæˀbjɯvɑː
ä,æ
äbī,ˈæbiː
ä’bknaš,ˈæˀbknɑʃ
ä’bțõks,ˈæˀbcəks
ä’bõiɡi,ˈæˀbɯiɡi
ä’bpū’dõz,ˈæˀbpuːˀdəz
ä’bțõ,ˈæˀbcə
ä’d,ˈæˀd
ä’bvȯndzi,ˈæˀbvɤndzi
ä’busk,ˈæˀbusk
ä’ɡɡõz,ˈæˀɡːəz
ädāɡõ,ˈædɑːɡə
ädā,ˈædɑː
äkīst,ˈækiːst
ältõ,ˈæltə
ä’ɡstõ,ˈæˀɡstə
äl,ˈæl
ändi,ˈændi
ämār,ˈæmɑːr
ärb,ˈærb
äp,ˈæp
äm,ˈæm
ät,ˈæt
ǟnda,ˈæːndɑ
ǟ,æː
ǟma,ˈæːmɑ
ǟrma,ˈæːrmɑ
ǟrɡa,ˈæːrɡɑ
ǟrmatõ,ˈæːrmɑtə
bä’bbõrz,ˈbæˀbːərz
bakbord,ˈbɑkbord
bäs,ˈbæs
belɡij,ˈbelɡij
beļɡij,ˈbeʎɡij
bä’zmõr,ˈbæˀzmər
bikšõd,ˈbikʃəd
birkov,ˈbirkov
bikt,ˈbikt
bībõl,ˈbiːbəl
bīlda,ˈbiːldɑ
bet,ˈbet
bībõl,ˈbiːbəl
bīskop,ˈbiːskop
bokā,ˈbokɑː
blē’ḑ,ˈbleːˀɟ
bīețõz,ˈbiːecəz
bokāmǭŗa,ˈbokɑːmɒːrʲɑ
bleifēdõr,ˈbleifeːdər
bomīkšõ,ˈbomiːkʃə
b,b
borāvīk,ˈborɑːviːk
borātõ,ˈborɑːtə
bosnij,ˈbosnij
