word,transcription
a’bbõnd,ˈɑˀbːənd
ablatīv,ˈɑblɑtiːv
a’bbõnz,ˈɑˀbːənz
agānd,ˈɑɡɑːnd
a’ddõrz,ˈɑˀdːərz
a’bbõrz,ˈɑˀbːərz
aigā,ˈɑiɡɑː
a’bli,ˈɑˀbli
a’b,ˈɑˀb
a’b,ˈɑˀb
aigāmǭlõ,ˈɑiɡɑːˌmɒːlə
adesīv,ˈɑdesiːv
agā,ˈɑɡɑː
agā,ˈɑɡɑː
agā,ˈɑɡɑː
aig,ˈɑiɡ
aigõ,ˈɑiɡə
a’igõ,ˈɑˀiɡə
a’igõ,ˈɑˀiɡə
a’igi,ˈɑˀiɡi
a’igi,ˈɑˀiɡi
aigi,ˈɑiɡi
alāb,ˈɑlɑːb
aktsent,ˈɑktsent
a’ilõ,ˈɑˀilə
alā,ˈɑlɑː
alā,ˈɑlɑː
alā,ˈɑlɑː
akkiji,ˈɑkːiji
akkõ,ˈɑkːə
a’jjõ,ˈɑˀjːə
aițumāl,ˈɑicumɑːl
aim,ˈɑim
aldõst,ˈɑldəst
alāstli,ˈɑlɑːstli
alfabēt,ˈɑlfɑbeːt
algõ,ˈɑlɡə
alāstõ,ˈɑlɑːstə
a,ɑ
algõd,ˈɑlɡəd
alg,ˈɑlɡ
algid,ˈɑlɡid
algõm,ˈɑlɡəm
allõ,ˈɑlːə
allõ,ˈɑlːə
a’lmi,ˈɑˀlmi
a’llitas,ˈɑˀlːiˌtɑs
allatīv,ˈɑlːɑtiːv
alz,ˈɑlz
alīz,ˈɑliːz
alīz,ˈɑliːz
alīz,ˈɑliːz
alīztas,ˈɑliːzˌtɑs
alīztas,ˈɑliːzˌtɑs
a’ltõ,ˈɑˀltə
alumīnij,ˈɑlumiːnij
aļ,ˈɑʎ
a’lli,ˈɑˀlːi
a’lli,ˈɑˀlːi
amāt,ˈɑmɑːt
amā,ˈɑmɑː
amā,ˈɑmɑː
amā,ˈɑmɑː
a’mši,ˈɑˀmʃi
a’mši,ˈɑˀmʃi
Amērik,ˈɑmeːrik
amūstiz,ˈɑmuːstiz
amātnikā,ˈɑmɑːtˌnikɑː
analīz,ˈɑnɑliːz
analōg,ˈɑnɑloːɡ
analōgij,ˈɑnɑloːɡij
aņgõrz,ˈɑɲɡərz
appõnrok,ˈɑpːənˌrok
appõnsēmḑa,ˈɑpːənˌseːmɟɑ
appõn,ˈɑpːən
appāina,ˈɑpːˌɑːinɑ
a’m,ˈɑˀm
ang,ˈɑnɡ
apostrōf,ˈɑpostroːf
andõ,ˈɑndə
and,ˈɑnd
and,ˈɑnd
aptēk,ˈɑpteːk
arrõ,ˈɑrːə
a’rrõ,ˈɑrːə
arāgõz,ˈɑrɑːɡəz
arū,ˈɑruː
a’rtõ,ˈɑˀrtə
artõ,ˈɑrtə
a’rtõ,ˈɑˀrtə
arābõ,ˈɑrɑːbə
aŗšt,ˈɑrʲʃt
april,ˈɑpril
aŗštõ,ˈɑrʲʃtə
atrāita,ˈɑtrɑːitɑ
aššõ,ˈɑʃːə
atrāitanai,ˈɑtrɑːitɑˌnɑi
astām,ˈɑstɑːm
astõ,ˈɑstə
a’zmõl,ˈɑˀzməl
Austrij,ˈɑustrij
azūmnikā,ˈɑzuːmˌnikɑː
azūm,ˈɑzuːm
ažāpū,ˈɑʒɑːˌpuː
a’ž,ˈɑˀʒ
āiga,ˈɑːiɡɑ
ažā,ˈɑʒɑː
ažāsõnā,ˈɑʒɑːˌsɯnɑː
azūmsõnā,ˈɑzuːmˌsɯnɑː
arm,ˈɑrm
āigakēra,ˈɑːiɡɑˌkeːrɑ
ā,ɑː
āigal,ˈɑːiɡɑl
āina,ˈɑːinɑ
a’r,ˈɑˀr
āigast,ˈɑːiɡɑst
āigast,ˈɑːiɡɑst
āigiņ,ˈɑːiɡiɲ
āinakerk,ˈɑːinɑˌkerk
āigarǭntõz,ˈɑːiɡɑˌrɒːntəz
āinagi,ˈɑːinɑɡi
āltar,ˈɑːltɑr
āiraz,ˈɑːirɑz
āita,ˈɑːitɑ
āinakū,ˈɑːinɑˌkuː
āndõks,ˈɑːndəks
ānkaŗ,ˈɑːnkɑrʲ
āmbaz,ˈɑːmbɑz
ārga,ˈɑːrɡɑ
āļdža,ˈɑːʎdʒɑ
ārmaz,ˈɑːrmɑz
ārmaztõ,ˈɑːrmɑztə
ārmakstõ,ˈɑːrmɑkstə
ä’b,ˈæˀb
ä’bjõvā,ˈæˀbˌjɯvɑː
äbjõvā,ˈæˀbˌjɯvɑː
ä’b-,ˈæˀbˌ-
ä,æ
äbī,ˈæbiː
ä’bknaš,ˈæˀbˌknɑʃ
ä’bțõks,ˈæˀbcəks
ä’bõigi,ˈæˀbˌɯiɡi
ä’bpū’dõz,ˈæˀbˌpuːˀdəz
ä’bțõ,ˈæˀbcə
ä’d,ˈæˀd
