word,transcription
spūoļ,/spuːoʎ/
jōtaz,/joːtɑz/
pivāli,/pivɑːli/
lamp,/lɑmp/
nīel,/niːel/
ti’g,/tiˀɡ/
mi’griki,/miˀɡriki/
sõ’vvõ,/səˀvːə/
sīedõ,/siːedə/
reņ,/reɲ/
rǭziņ,/rɒːziɲ/
jelānikā,/jelɑːnikɑː/
škērõd,/ʃkeːrəd/
pu’ddõ,/puˀdːə/
o’vstõd,/oˀvstəd/
sǭja,/sɒːjɑ/
katkismus,/kɑtkismus/
pānda,/pɑːndɑ/
mǟrga,/mæːrɡɑ/
i’llõ,/iˀlːə/
sangdõ,/sɑnɡdə/
jemāsõzār,/jemɑːsəzɑːr/
jǭņpǟvakū,/jɒːɲpæːvɑkuː/
sī,/siː/
artõ,/ɑrtə/
pešlinki,/peʃlinki/
paļštõ,/pɑʎʃtə/
sizāl,/sizɑːl/
va’gtõ,/vɑˀɡtə/
būom,/buːom/
brī,/briː/
tūrska,/tuːrskɑ/
Gipk,/ɡipk/
sī’ḑšt,/siːˀɟʃt/
u’d,/uˀd/
ǭ’j,/ɒːˀj/
vērbikšõ,/veːrbikʃə/
juo,/juo/
langõ,/lɑnɡə/
tämpõ,/tæmpə/
tūoiznapǟva,/tuːoiznɑpæːvɑ/
ä’b,/æˀb/
kērabi,/keːrɑbi/
ki’lgõ,/kiˀlɡə/
ūomõg,/uːoməɡ/
kīndõrbū,/kiːndərbuː/
mä’g,/mæˀɡ/
Lū’ž,/luːˀʒ/
kõ’l,/kəˀl/
i’gmõd,/iˀɡməd/
kǭ’ļõ,/kɒːˀʎə/
su’ggõ,/suˀɡːə/
paņ,/pɑɲ/
mõtkõz,/mətkəz/
jū’rõ,/juːˀrə/
ovāri,/ovɑːri/
kerīkšõ,/keriːkʃə/
nǟ,/næː/
stuņḑ,/stuɲɟ/
su’ggõ,/suˀɡːə/
vīrtša,/viːrt͡ʃɑ/
kaitsõ,/kɑitsə/
lem,/lem/
kilgõ,/kilɡə/
jovātõ,/jovɑːtə/
lä’bǭ’rõn,/læˀbɒːˀrən/
ja’g,/jɑˀɡ/
īnda,/iːndɑ/
sī’ḑõ,/siːˀɟə/
Rumēnij,/rumeːnij/
mingi,/minɡi/
vigā,/viɡɑː/
pie’rrõ,/pieˀrːə/
jūoimi,/juːoimi/
a’bli,/ɑˀbli/
aig,/ɑiɡ/
vālda,/vɑːldɑ/
loutš,/lout͡ʃ/
tazāntõ,/tɑzɑːntə/
te’ddõr,/teˀdːər/
lūoltiji,/luːoltiji/
kālmadtarā,/kɑːlmɑdtɑrɑː/
jo’uļiki,/joˀuʎiki/
lītiņtõ,/liːtiɲtə/
vepšõ,/vepʃə/
vȯ’ddõrz,/vɤˀdːərz/
ū’oļmõz,/uːˀoʎməz/
tus,/tus/
alā,/ɑlɑː/
kāndam,/kɑːndɑm/
pu’rmõz,/puˀrməz/
põŗgtõ,/pərʲɡtə/
vändõ,/vændə/
mūoštõks,/muːoʃtəks/
ku’zzõ,/kuˀzːə/
nūoŗpǭr,/nuːorʲpɒːr/
bakbord,/bɑkbord/
kalādrok,/kɑlɑːdrok/
jeiji,/jeiji/
tieudõ,/tieudə/
vai’dlõ,/vɑiˀdlə/
lu’gdõbrǭntõz,/luˀɡdəbrɒːntəz/
rǭz,/rɒːz/
alīztas,/ɑliːztɑs/
va’rri,/vɑˀrːi/
agā,/ɑɡɑː/
Tsībõrmǭ,/tsiːbərmɒː/
vī’gõz,/viːˀɡəz/
ka’j,/kɑˀj/
kūož,/kuːoʒ/
ū’kšõ,/uːˀkʃə/
pǭļaz,/pɒːʎɑz/
lamātõks,/lɑmɑːtəks/
käskõ,/kæskə/
paldīņ,/pɑldiːɲ/
no’ugõd,/noˀuɡəd/
touvi,/touvi/
kūora,/kuːorɑ/
kuņšt,/kuɲʃt/
na’ggõrz,/nɑˀɡːərz/
Pitrõg,/pitrəɡ/
kejā,/kejɑː/
Belgij,/belɡij/
obāļi,/obɑːʎi/
sizāl,/sizɑːl/
me’rdõ,/meˀrdə/
tǭ’gõz,/tɒːˀɡəz/
sǭdõ,/sɒːdə/
rištõ,/riʃtə/
tint,/tint/
līti,/liːti/
kilglū,/kilɡluː/
kōgiņ,/koːɡiɲ/
pūoļ,/puːoʎ/
peppiņd,/pepːiɲd/
e’žžõmpǟva,/eˀʒːəmpæːvɑ/
no’jjõ,/noˀjːə/
toļ,/toʎ/
puŗŗõkuo’ig,/purʲːəkuoˀiɡ/
tȭlza,/təːlzɑ/
labā,/lɑbɑː/
a’mši,/ɑˀmʃi/
ī’dtuoistõnz,/iːˀdtuoistənz/
lõuglõ,/ləuɡlə/
jei,/jei/
ra’j,/rɑˀj/
izāve’ļ,/izɑːveˀʎ/
kuskis,/kuskis/
vīdsadāz,/viːdsɑdɑːz/
mǭ’dõ,/mɒːˀdə/
kuondõ,/kuondə/
algõd,/ɑlɡəd/
jūodõ,/juːodə/
sēmḑa,/seːmɟɑ/
pä’zzõ,/pæˀzːə/
kūžtuoistõn,/kuːʒtuoistən/
Rūoj,/ruːoj/
vanā,/vɑnɑː/
lūoltõ,/luːoltə/
kakštuoistõn,/kɑkʃtuoistən/
redīsõz,/rediːsəz/
lǟlam,/læːlɑm/
reiz,/reiz/
laid,/lɑid/
vīrba,/viːrbɑ/
brūni,/bruːni/
ükš,/ykʃ/
nēļasadā,/neːʎɑsɑdɑː/
neļļõz,/neʎːəz/
tūļ,/tuːʎ/
īedõ,/iːedə/
skūol,/skuːol/
lōda,/loːdɑ/
ja,/jɑ/
vāina,/vɑːinɑ/
so’ugdõ,/soˀuɡdə/
jūnij,/juːnij/
partitīv,/pɑrtitiːv/
kēratõ,/keːrɑtə/
sūr,/suːr/
āndõks,/ɑːndəks/
kard,/kɑrd/
dullõnz,/dulːənz/
le’bbõ,/leˀbːə/
tuo’ž,/tuoˀʒ/
ti’g,/tiˀɡ/
sa,/sɑ/
i’ļdžēmḑa,/iˀʎdʒeːmɟɑ/
pū’oj,/puːˀoj/
nūoŗ,/nuːorʲ/
lūotš,/luːot͡ʃ/
vikārt,/vikɑːrt/
sǭpkõz,/sɒːpkəz/
krõbīž,/krəbiːʒ/
sigāvȯzā,/siɡɑːvɤzɑː/
kuțā,/kucɑː/
ī’dlimi,/iːˀdlimi/
vīžtuoistõn,/viːʒtuoistən/
vingõ,/vinɡə/
